Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,hour,day,month,EstimatedEnergy
2017-02-01 10:00:00,0.4,7,1012.3,6.4,0.0,68,10,1,2,0.16128
2017-05-01 16:00:00,1.6,3,1038.0,0.6,0.0,74,16,1,5,0.0064800000000000005
2017-11-02 16:00:00,1.9,6,1042.2,55.3,0.0,74,16,2,11,1.19448
2017-07-04 06:00:00,2.0,3,1007.9,4.5,2.3,90,6,4,7,0.0486
2017-08-04 07:00:00,1.6,2,1014.4,56.7,5.4,73,7,4,8,0.40824
2017-02-05 05:00:00,1.6,12,1029.7,10.0,2.3,74,5,5,2,0.432
2017-09-05 05:00:00,2.5,2,1020.3,13.9,1.4,66,5,5,9,0.10008
2017-09-05 06:00:00,1.0,8,1020.0,56.6,2.2,63,6,5,9,1.63008
2017-11-05 20:00:00,2.0,1,1009.6,23.4,4.7,83,20,5,11,0.08424
2017-12-05 21:00:00,2.6,3,1014.5,1.1,6.7,73,21,5,12,0.011879999999999998
2017-05-06 04:00:00,0.9,2,1002.5,4.4,8.6,100,4,6,5,0.03168
2017-12-06 05:00:00,1.6,12,996.7,54.7,11.8,96,5,6,12,2.36304
2017-01-07 04:00:00,4.2,6,1006.9,7.2,15.1,57,4,7,1,0.15552
2017-04-07 04:00:00,3.9,4,1010.3,7.1,12.0,61,4,7,4,0.10224
2017-04-07 05:00:00,2.8,12,1011.1,41.8,12.1,60,5,7,4,1.8057599999999998
2017-05-07 05:00:00,5.6,2,1015.2,32.8,12.6,59,5,7,5,0.23616
2017-06-07 04:00:00,4.5,2,1017.3,1.5,11.9,50,4,7,6,0.010799999999999999
2017-06-07 05:00:00,3.9,7,1017.6,38.7,12.3,49,5,7,6,0.97524
2017-12-07 05:00:00,1.3,12,999.5,34.6,13.4,85,5,7,12,1.49472
2017-09-08 07:00:00,4.2,2,1016.0,36.6,14.6,96,7,8,9,0.26352
2017-11-08 05:00:00,1.6,4,1013.6,1.5,10.7,100,5,8,11,0.021599999999999998
2017-01-10 09:00:00,2.5,3,1020.3,50.8,11.8,82,9,10,1,0.54864
2017-03-10 08:00:00,1.9,1,991.2,34.5,10.4,97,8,10,3,0.12419999999999999
2017-06-10 07:00:00,0.6,6,1002.9,0.8,4.9,89,7,10,6,0.01728
2017-04-11 09:00:00,0.7,3,1001.8,27.7,1.2,98,9,11,4,0.29916
2017-05-11 16:00:00,2.9,4,997.0,22.5,5.1,91,16,11,5,0.324
